filename,role,width_px,height_px,aspect_ratio,size_mb,absolute_source,title_status
agar.jpg,full artwork source,5233,816,6.413,3.23,/Users/manuariza/Downloads/Antonio Art/agar.jpg,filename supplied by user; display title to confirm
algas.jpg,full artwork source,5358,852,6.2887,3.18,/Users/manuariza/Downloads/Antonio Art/algas.jpg,filename supplied by user; display title to confirm
barcelo.jpg,full artwork source,3006,5196,0.5785,5.85,/Users/manuariza/Downloads/Antonio Art/barcelo.jpg,filename supplied by user; display title to confirm
chapel.jpg,full artwork source,4314,3306,1.3049,10.77,/Users/manuariza/Downloads/Antonio Art/chapel.jpg,filename supplied by user; display title to confirm
coral.jpg,full artwork source,5418,876,6.1849,3.16,/Users/manuariza/Downloads/Antonio Art/coral.jpg,filename supplied by user; display title to confirm
doble A.jpg,full artwork source,3306,5232,0.6319,14.81,/Users/manuariza/Downloads/Antonio Art/doble A.jpg,filename supplied by user; display title to confirm
doble B.jpg,full artwork source,3300,5112,0.6455,13.49,/Users/manuariza/Downloads/Antonio Art/doble B.jpg,filename supplied by user; display title to confirm
esme 1.jpg,full artwork source,4956,3240,1.5296,9.63,/Users/manuariza/Downloads/Antonio Art/esme 1.jpg,filename supplied by user; display title to confirm
fatuo 1.jpg,full artwork source,3348,4134,0.8099,11.0,/Users/manuariza/Downloads/Antonio Art/fatuo 1.jpg,filename supplied by user; display title to confirm
la ola 1.jpg,full artwork source,4272,3492,1.2234,8.3,/Users/manuariza/Downloads/Antonio Art/la ola 1.jpg,filename supplied by user; display title to confirm
marte 1.jpg,full artwork source,3444,4320,0.7972,13.22,/Users/manuariza/Downloads/Antonio Art/marte 1.jpg,filename supplied by user; display title to confirm
nubes 1.jpg,full artwork source,4200,3438,1.2216,8.05,/Users/manuariza/Downloads/Antonio Art/nubes 1.jpg,filename supplied by user; display title to confirm
sunset 3.jpg,full artwork source,3966,3240,1.2241,9.17,/Users/manuariza/Downloads/Antonio Art/sunset 3.jpg,filename supplied by user; display title to confirm
tanguy 1.jpg,full artwork source,3492,3552,0.9831,9.23,/Users/manuariza/Downloads/Antonio Art/tanguy 1.jpg,filename supplied by user; display title to confirm
tanguy 2.jpg,full artwork source,4890,3384,1.445,12.51,/Users/manuariza/Downloads/Antonio Art/tanguy 2.jpg,filename supplied by user; display title to confirm
visc 1.jpg,full artwork source,5370,2610,2.0575,8.91,/Users/manuariza/Downloads/Antonio Art/visc 1.jpg,filename supplied by user; display title to confirm
Untitled design (1).png,detail crop; source association to verify,3000,3000,1.0,14.92,/Users/manuariza/Downloads/Antonio Art/crops/Untitled design (1).png,crop filename only
Untitled design (11).png,detail crop; source association to verify,3000,3000,1.0,15.14,/Users/manuariza/Downloads/Antonio Art/crops/Untitled design (11).png,crop filename only
Untitled design (13).png,detail crop; source association to verify,3000,3000,1.0,13.98,/Users/manuariza/Downloads/Antonio Art/crops/Untitled design (13).png,crop filename only
Untitled design (14).png,detail crop; source association to verify,3000,3000,1.0,15.3,/Users/manuariza/Downloads/Antonio Art/crops/Untitled design (14).png,crop filename only
Untitled design (15).png,detail crop; source association to verify,3000,3000,1.0,11.34,/Users/manuariza/Downloads/Antonio Art/crops/Untitled design (15).png,crop filename only
Untitled design (16).png,detail crop; source association to verify,3000,3000,1.0,11.56,/Users/manuariza/Downloads/Antonio Art/crops/Untitled design (16).png,crop filename only
Untitled design (17).png,detail crop; source association to verify,3000,3000,1.0,10.74,/Users/manuariza/Downloads/Antonio Art/crops/Untitled design (17).png,crop filename only
Untitled design (18).png,detail crop; source association to verify,3000,3000,1.0,10.43,/Users/manuariza/Downloads/Antonio Art/crops/Untitled design (18).png,crop filename only
Untitled design (19).png,detail crop; source association to verify,3000,3000,1.0,10.79,/Users/manuariza/Downloads/Antonio Art/crops/Untitled design (19).png,crop filename only
Untitled design (2).png,detail crop; source association to verify,3000,3000,1.0,14.85,/Users/manuariza/Downloads/Antonio Art/crops/Untitled design (2).png,crop filename only
Untitled design (20).jpg,detail crop; source association to verify,1929,1929,1.0,3.0,/Users/manuariza/Downloads/Antonio Art/crops/Untitled design (20).jpg,crop filename only
Untitled design (21).jpg,detail crop; source association to verify,3006,3006,1.0,4.64,/Users/manuariza/Downloads/Antonio Art/crops/Untitled design (21).jpg,crop filename only
Untitled design (3).png,detail crop; source association to verify,3000,3000,1.0,13.9,/Users/manuariza/Downloads/Antonio Art/crops/Untitled design (3).png,crop filename only
Untitled design (4).png,detail crop; source association to verify,3000,3000,1.0,14.49,/Users/manuariza/Downloads/Antonio Art/crops/Untitled design (4).png,crop filename only
Untitled design (5).png,detail crop; source association to verify,3000,3000,1.0,15.39,/Users/manuariza/Downloads/Antonio Art/crops/Untitled design (5).png,crop filename only
Untitled design (6).png,detail crop; source association to verify,3000,3000,1.0,15.36,/Users/manuariza/Downloads/Antonio Art/crops/Untitled design (6).png,crop filename only
Untitled design (7).png,detail crop; source association to verify,3000,3000,1.0,14.31,/Users/manuariza/Downloads/Antonio Art/crops/Untitled design (7).png,crop filename only
Untitled design copy 2.png,detail crop; source association to verify,3000,3000,1.0,7.2,/Users/manuariza/Downloads/Antonio Art/crops/Untitled design copy 2.png,crop filename only
Untitled design copy.png,detail crop; source association to verify,3000,3000,1.0,7.23,/Users/manuariza/Downloads/Antonio Art/crops/Untitled design copy.png,crop filename only
Untitled design.png,detail crop; source association to verify,3000,3000,1.0,13.07,/Users/manuariza/Downloads/Antonio Art/crops/Untitled design.png,crop filename only
